,1,WK 1,5/16/2015,B,Indian Snipers (TeCHricketers),Dallas Tigers,Allen Cricket Ground on Alma,Zeo Warriors,Lycans,Saturday,7:30 am - 11:30 pm
,2,WK 1,5/16/2015,B,Cirrus,Giant Strikers,Allen Cricket Ground on Alma,Ballbusters,Friends CC,Saturday,11:30 am - 3:30 pm
,3,WK 1,5/16/2015,B,Plano Packers,Lagaan XI,Allen Cricket Ground on Alma,Zeo Warriors,Lycans,Saturday,3:30 Pm - 7:30 pm
,4,WK 1,5/16/2015,C,The AMPS,Cycle Stand,Lanka Cricket Ground,Swadeshi Stars,Chennai Rockerz,Saturday,2:00 pm - 6:00 pm
,5,WK 1,5/16/2015,B,Dallas Chargers,Incredible Indians,Lonestar Cricket Ground,Ballbusters,Friends CC,Saturday,7:30 am - 11:30 pm
,6,WK 1,5/16/2015,D,India Blues,SHARKS,Lonestar Cricket Ground,Curd Rice Cricket Club,Dallas Daredevils,Saturday,11:30 am - 3:30 pm
,7,WK 1,5/16/2015,A,Royals Cricket Club,Irving Chargers,Lonestar Cricket Ground,Ballbusters,Plano Tigers,Saturday,3:30 Pm - 7:30 pm
,8,WK 1,5/16/2015,D,Texas Rebels,United Bengal Tigers (AllenBDTigers),Russell Creek G7,Spades,Curd Rice Cricket Club,Saturday,7:30 am - 11:30 pm
,9,WK 1,5/16/2015,D,SMASHERS,MC United,Russell Creek G7,Challengers CC,Dallas Daredevils,Saturday,3:30 pm - 7:30 pm
,10,WK 1,5/17/2015,A,Challengers CC,Dallas Daredevils,Allen Cricket Ground on Alma,King Cobras CC,Plano Tigers,Sunday,12:00 pm - 3:00 pm
,11,WK 1,5/17/2015,C,Anveta Bulls,Boomstick Mafia CC,Dodd Park Cricket Ground,VR Lions,Blazing XI,Sunday,7:30 am - 11:30 pm
,12,WK 1,5/17/2015,D,Swadeshi Stars,Chennai Rockerz,Dodd Park Cricket Ground,Royals Cricket Club,Irving Chargers,Sunday,11:30 am - 3:30 pm
,13,WK 1,5/17/2015,A,Spades,Curd Rice Cricket Club,Dodd Park Cricket Ground,King Cobras CC,Plano Tigers,Sunday,3:30 pm - 7:30 pm
,14,WK 2,5/30/2015,B,Plano Packers,Dallas Tigers,Allen Cricket Ground on Alma,Swadeshi Stars,Curd Rice Cricket Club,Saturday,7:30 am - 11:30 pm
,15,WK 2,5/30/2015,B,Lagaan XI,Giant Strikers,Allen Cricket Ground on Alma,Swadeshi Stars,Desi Boyz,Saturday,11:30 am - 3:30 pm
,16,WK 2,5/30/2015,C,The AMPS,United Eleven,Allen Cricket Ground on Alma,India Blues,SHARKS,Saturday,3:30 pm - 7:30 pm
,17,WK 2,5/30/2015,C,Boomstick Mafia CC,Ballbusters,Dodd Park Cricket Ground,Dallas Chargers,SHARKS,Saturday,7:30 am - 11:30 pm
,18,WK 2,5/30/2015,D,SMASHERS,Frisco Singhams,Dodd Park Cricket Ground,Spades,Irving Chargers,Saturday,11:30 am - 3:30 pm
,19,WK 2,5/30/2015,D,Chennai Rockerz,MC United,Dodd Park Cricket Ground,Spades,Irving Chargers,Saturday,3:30 pm - 7:30 pm
,20,WK 2,5/30/2015,LB,Challengers CC,Dallas Tornadoes,Garland Cricket Ground,Red Bulls,Dallas Chargers,Saturday,3:30 pm - 7:30 pm
,21,WK 2,5/30/2015,LA,Buccaneers,Super Kings,Lanka Cricket Ground,Southlake United,Incredible Indians,Saturday,2:00 pm - 6:00 pm
,22,WK 2,5/30/2015,D,Texas Rebels,Texas Thunders (Breckinridge Cricket Club),Lonestar Cricket Ground,Spades,Irving Chargers,Saturday,7:30 am - 11:30 pm
,23,WK 2,5/30/2015,LA,Royals Cricket Club,EPIC Cricket Club,Lonestar Cricket Ground,Southlake United,Incredible Indians,Saturday,11:30 am - 3:30 pm
,24,WK 2,5/30/2015,C,Anveta Bulls,Friends CC,Lonestar Cricket Ground,India Blues,SHARKS,Saturday,3:30 pm - 7:30 pm
,25,WK 2,5/31/2015,B,Dallas Chargers,Plano Tigers,Allen Cricket Ground on Alma,The AMPS,United Eleven,Sunday,3:30 pm - 7:30 pm
,26,WK 2,5/31/2015,A,Royals Cricket Club,Curd Rice Cricket Club,Dodd Park Cricket Ground,Plano Packers,Lagaan XI,Sunday,7:30 am - 11:30 am
,27,WK 2,5/31/2015,B,Indian Snipers (TeCHricketers),Incredible Indians,Dodd Park Cricket Ground,The AMPS,Swadeshi Stars,Sunday,11:30 am - 3:30 pm
,28,WK 2,5/31/2015,A,Challengers CC,Dallas Dynamites,Dodd Park Cricket Ground,Cirrus,India Blues,Sunday,3:30 pm - 7:30 pm
,29,WK 3,6/6/2015,C,Anveta Bulls,Zeo Warriors,Allen Cricket Ground on Alma,India Blues,Texas Rebels,Saturday,7:30 am - 11:30 pm
,30,WK 3,6/6/2015,D,VR Lions,Frisco Singhams,Allen Cricket Ground on Alma,Spades,Curd Rice Cricket Club,Saturday,11:30 am - 3:30 pm
,31,WK 3,6/6/2015,C,Boomstick Mafia CC,Friends CC,Allen Cricket Ground on Alma,India Blues,Texas Rebels,Saturday,3:30 pm - 7:30 pm
,32,WK 3,6/6/2015,D,Blazing XI,United Bengal Tigers (AllenBDTigers),Garland Cricket Ground,Spades,Curd Rice Cricket Club,Saturday,7:30 am - 11:30 pm
,33,WK 3,6/6/2015,LB,Lagaan XI,Friends Strikers,Garland Cricket Ground,Black Stallions,Dallas Chargers,Saturday,11:30 am - 3:30 pm
,34,WK 3,6/6/2015,LB,Challengers CC,The AMPS,Garland Cricket Ground,Black Stallions,Dallas Chargers,Saturday,3:30 pm - 7:30 pm
,35,WK 3,6/6/2015,LA,Royals Cricket Club,Red Bulls,Lanka Cricket Ground,Incredible Indians,Plano Packers,Saturday,2:00 pm - 6:00 pm
,36,WK 3,6/6/2015,C,Desi Boyz,Lycans,Lonestar Cricket Ground,India Blues,Texas Rebels,Saturday,7:30 am - 11:30 pm
,37,WK 3,6/6/2015,LA,Irving Chargers,Super Kings,Lonestar Cricket Ground,Incredible Indians,Plano Packers,Saturday,11:30 am - 3:30 pm
,38,WK 3,6/6/2015,LA,Buccaneers,Force XI,Lonestar Cricket Ground,Incredible Indians,Plano Packers,Saturday,3:30 pm - 7:30 pm
,39,WK 3,6/7/2015,D,SHARKS,MC United,Allen Cricket Ground on Alma,Spades,Desi Boyz,Sunday,3:30 pm - 7:30 pm
,40,WK 3,6/7/2015,A,Curd Rice Cricket Club,Dallas Daredevils,Dodd Park Cricket Ground,Dallas Chargers,Lagaan XI,Sunday,7:30 pm - 11:30 am
,41,WK 3,6/7/2015,B,Plano Packers,Giant Strikers,Dodd Park Cricket Ground,The AMPS,Swadeshi Stars,Sunday,11:30 am - 3:30 pm
